C1,C2,C3,C4,C5,C6,C7,C8,Marker
0,-1,-1,-4,-4,-12,-6,-2,NAN
2,0,-1,1,3,13,4,2,NAN
-1,1,0,-2,-8,-4,-3,-1,NAN
-1,0,0,-2,1,-2,1,1,NAN
-2,-1,0,0,-5,-1,-3,0,NAN
-1,-1,0,0,-4,-4,-1,-2,NAN
-2,-1,0,-2,-1,1,1,-2,NAN
-2,0,-1,-1,-4,-2,-3,-1,NAN
-1,-1,-1,-1,-1,1,-4,-1,NAN
0,-2,-1,-2,-2,-2,0,0,NAN
1,-3,1,1,0,0,0,-1,NAN
0,-2,-3,-1,-2,-2,-1,-2,NAN
-2,-2,-2,-2,-2,3,-1,-2,NAN
-2,0,-3,0,5,-2,4,-1,NAN
-7,-2,-2,-3,0,-1,-1,-2,NAN
7,1,-1,1,1,-1,-1,-1,NAN
-2,0,-2,-1,-2,-1,0,0,NAN
0,-1,-2,-3,0,-2,-1,-1,NAN
-2,-1,-1,0,2,-2,-3,-1,NAN
-5,-3,-1,-1,1,1,0,-2,NAN
0,0,-1,-1,-1,-1,0,-1,NAN
-1,-2,-2,-1,-5,-3,0,-2,NAN
-2,0,-1,-1,1,1,-3,1,NAN
-2,-1,-1,0,0,-1,1,0,NAN
2,-2,0,-1,2,0,-3,-3,NAN
0,-2,-1,-1,0,-7,-3,-1,NAN
3,1,0,1,-1,14,9,1,NAN
-2,-1,-1,-1,0,-4,-7,0,NAN
-3,-1,0,-2,-2,1,1,-1,NAN
-2,0,-2,0,2,-4,2,0,NAN
1,-1,-3,-1,-4,-3,-3,0,NAN
0,-2,-1,-1,-5,-1,3,-1,NAN
0,-3,-2,-1,-3,-3,-3,-2,NAN
-1,-1,0,-1,2,1,-2,-3,NAN
0,0,0,-1,-2,-3,2,-1,NAN
-2,-2,-3,-3,-1,-1,-3,-3,NAN
-1,0,-2,-1,-2,-2,-2,1,NAN
-3,-1,-3,-2,-5,-4,-3,0,NAN
2,-1,-2,0,0,12,0,-1,NAN
0,-2,1,-2,0,-4,-1,0,NAN
0,-1,-1,-1,1,3,8,-1,NAN
-1,-2,-1,-1,-4,-6,-14,-2,NAN
0,-1,-1,-1,0,-5,-2,-2,NAN
0,-1,-2,-2,-2,-1,0,-1,NAN
-2,-1,0,-1,-1,-1,1,-2,NAN
0,-2,0,-1,-3,3,3,0,NAN
0,-4,-2,-1,-3,-8,-3,-2,NAN
-1,-1,0,0,-3,0,-2,-1,NAN
-2,0,-2,-2,2,-3,-2,-2,NAN
0,-1,0,-2,-6,-1,-1,0,NAN
